,Track_ID,Rank,Streams,acousticness,analysis_url,danceability,duration_ms,energy,id,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,track_href,type,uri,valence
1070,4XBUenjR9pWDFtM9dSckEa,3661,329995,0.213,https://api.spotify.com/v1/audio-analysis/4XBUenjR9pWDFtM9dSckEa,0.901,185896,0.697,4XBUenjR9pWDFtM9dSckEa,0.0,9,0.115,-5.569,0,0.0601,96.003,4,https://api.spotify.com/v1/tracks/4XBUenjR9pWDFtM9dSckEa,audio_features,spotify:track:4XBUenjR9pWDFtM9dSckEa,0.644
1071,4XEYHjp86yaGfZOGT8CqPV,1610,107742,0.261,https://api.spotify.com/v1/audio-analysis/4XEYHjp86yaGfZOGT8CqPV,0.748,234373,0.731,4XEYHjp86yaGfZOGT8CqPV,0.0,11,0.0811,-6.558,0,0.0803,126.992,4,https://api.spotify.com/v1/tracks/4XEYHjp86yaGfZOGT8CqPV,audio_features,spotify:track:4XEYHjp86yaGfZOGT8CqPV,0.686
1072,4Xb21wdjwXg3AcKWqfQ2lw,241,17672,0.194,https://api.spotify.com/v1/audio-analysis/4Xb21wdjwXg3AcKWqfQ2lw,0.698,171781,0.723,4Xb21wdjwXg3AcKWqfQ2lw,0.0,1,0.125,-5.145,0,0.38,157.992,4,https://api.spotify.com/v1/tracks/4Xb21wdjwXg3AcKWqfQ2lw,audio_features,spotify:track:4Xb21wdjwXg3AcKWqfQ2lw,0.5
1073,4XqCiPFWwAwGEI7yiq0LvK,892,27388,0.353,https://api.spotify.com/v1/audio-analysis/4XqCiPFWwAwGEI7yiq0LvK,0.691,213933,0.864,4XqCiPFWwAwGEI7yiq0LvK,0.0,5,0.0483,-2.779,0,0.065,82.977,4,https://api.spotify.com/v1/tracks/4XqCiPFWwAwGEI7yiq0LvK,audio_features,spotify:track:4XqCiPFWwAwGEI7yiq0LvK,0.555
1074,4YW8YoVfEZTynrEvWeLbRc,99,9279,0.0314,https://api.spotify.com/v1/audio-analysis/4YW8YoVfEZTynrEvWeLbRc,0.701,239717,0.81,4YW8YoVfEZTynrEvWeLbRc,0.0204,10,0.082,-5.096,0,0.0355,109.027,4,https://api.spotify.com/v1/tracks/4YW8YoVfEZTynrEvWeLbRc,audio_features,spotify:track:4YW8YoVfEZTynrEvWeLbRc,0.746
1075,4YcWzLSnGqLjSCycuSMHnn,506,29758,0.173,https://api.spotify.com/v1/audio-analysis/4YcWzLSnGqLjSCycuSMHnn,0.786,233333,0.683,4YcWzLSnGqLjSCycuSMHnn,0.0,7,0.706,-5.397,1,0.205,126.002,4,https://api.spotify.com/v1/tracks/4YcWzLSnGqLjSCycuSMHnn,audio_features,spotify:track:4YcWzLSnGqLjSCycuSMHnn,0.57
1076,4YhJ3a6kBPGJWX4Ek77sDd,634,49946,0.206,https://api.spotify.com/v1/audio-analysis/4YhJ3a6kBPGJWX4Ek77sDd,0.823,169907,0.504,4YhJ3a6kBPGJWX4Ek77sDd,0.0,8,0.417,-8.65,0,0.16,112.985,4,https://api.spotify.com/v1/tracks/4YhJ3a6kBPGJWX4Ek77sDd,audio_features,spotify:track:4YhJ3a6kBPGJWX4Ek77sDd,0.481
1077,4YjQZ07m4KCI5RDsI0H6qI,1332,134352,0.171,https://api.spotify.com/v1/audio-analysis/4YjQZ07m4KCI5RDsI0H6qI,0.741,170000,0.712,4YjQZ07m4KCI5RDsI0H6qI,3.49e-06,9,0.108,-6.437,0,0.0314,131.044,4,https://api.spotify.com/v1/tracks/4YjQZ07m4KCI5RDsI0H6qI,audio_features,spotify:track:4YjQZ07m4KCI5RDsI0H6qI,0.877
1078,4Z9CNGHElj2rLkB8mQdvnA,1090,277447,0.272,https://api.spotify.com/v1/audio-analysis/4Z9CNGHElj2rLkB8mQdvnA,0.592,223747,0.492,4Z9CNGHElj2rLkB8mQdvnA,0.0,9,0.0785,-8.462,1,0.169,128.067,4,https://api.spotify.com/v1/tracks/4Z9CNGHElj2rLkB8mQdvnA,audio_features,spotify:track:4Z9CNGHElj2rLkB8mQdvnA,0.384
1079,4ZLzoOkj0MPWrTLvooIuaa,5465,156128,0.72,https://api.spotify.com/v1/audio-analysis/4ZLzoOkj0MPWrTLvooIuaa,0.498,179080,0.235,4ZLzoOkj0MPWrTLvooIuaa,0.0,1,0.144,-16.541,0,0.188,118.917,4,https://api.spotify.com/v1/tracks/4ZLzoOkj0MPWrTLvooIuaa,audio_features,spotify:track:4ZLzoOkj0MPWrTLvooIuaa,0.0895
1080,4ZTTUAjJCd4NMZmIU7RB4c,2734,88484,0.0561,https://api.spotify.com/v1/audio-analysis/4ZTTUAjJCd4NMZmIU7RB4c,0.587,220141,0.648,4ZTTUAjJCd4NMZmIU7RB4c,0.0,11,0.115,-6.927,0,0.0439,144.028,4,https://api.spotify.com/v1/tracks/4ZTTUAjJCd4NMZmIU7RB4c,audio_features,spotify:track:4ZTTUAjJCd4NMZmIU7RB4c,0.281
1081,4aNCUK7i0ABpjpsSSqH2Lh,134,7936,0.0182,https://api.spotify.com/v1/audio-analysis/4aNCUK7i0ABpjpsSSqH2Lh,0.791,170680,0.725,4aNCUK7i0ABpjpsSSqH2Lh,1.16e-06,6,0.324,-6.074,1,0.193,150.053,4,https://api.spotify.com/v1/tracks/4aNCUK7i0ABpjpsSSqH2Lh,audio_features,spotify:track:4aNCUK7i0ABpjpsSSqH2Lh,0.792
1082,4aOOExMBUyxKnEYb39SrTg,779,42232,0.019,https://api.spotify.com/v1/audio-analysis/4aOOExMBUyxKnEYb39SrTg,0.509,78681,0.542,4aOOExMBUyxKnEYb39SrTg,0.00639,3,0.23,-8.027,0,0.442,97.767,4,https://api.spotify.com/v1/tracks/4aOOExMBUyxKnEYb39SrTg,audio_features,spotify:track:4aOOExMBUyxKnEYb39SrTg,0.151
1083,4aZfvvgfoSfmSZpfwQYzC0,68,212866,0.227,https://api.spotify.com/v1/audio-analysis/4aZfvvgfoSfmSZpfwQYzC0,0.78,185330,0.816,4aZfvvgfoSfmSZpfwQYzC0,0.625,10,0.113,-6.101,0,0.056,109.008,4,https://api.spotify.com/v1/tracks/4aZfvvgfoSfmSZpfwQYzC0,audio_features,spotify:track:4aZfvvgfoSfmSZpfwQYzC0,0.263
1084,4adrh1YMaPAhtqalhG8hIH,166,7391,0.0473,https://api.spotify.com/v1/audio-analysis/4adrh1YMaPAhtqalhG8hIH,0.687,157118,0.575,4adrh1YMaPAhtqalhG8hIH,0.0,1,0.0981,-8.169,1,0.454,114.268,5,https://api.spotify.com/v1/tracks/4adrh1YMaPAhtqalhG8hIH,audio_features,spotify:track:4adrh1YMaPAhtqalhG8hIH,0.394
1085,4bHsxqR3GMrXTxEPLuK5ue,895,27620,0.127,https://api.spotify.com/v1/audio-analysis/4bHsxqR3GMrXTxEPLuK5ue,0.5,250987,0.748,4bHsxqR3GMrXTxEPLuK5ue,0.0,4,0.447,-9.072,1,0.0363,118.852,4,https://api.spotify.com/v1/tracks/4bHsxqR3GMrXTxEPLuK5ue,audio_features,spotify:track:4bHsxqR3GMrXTxEPLuK5ue,0.514
1086,4cSSL3YafYjM3yjgFO1vJg,11088,844401,0.268,https://api.spotify.com/v1/audio-analysis/4cSSL3YafYjM3yjgFO1vJg,0.867,173288,0.744,4cSSL3YafYjM3yjgFO1vJg,0.0,2,0.0713,-5.171,1,0.227,84.005,4,https://api.spotify.com/v1/tracks/4cSSL3YafYjM3yjgFO1vJg,audio_features,spotify:track:4cSSL3YafYjM3yjgFO1vJg,0.645
1087,4cZrjpI6LsWvrxHoceUBc8,132,8806,0.341,https://api.spotify.com/v1/audio-analysis/4cZrjpI6LsWvrxHoceUBc8,0.892,157693,0.672,4cZrjpI6LsWvrxHoceUBc8,0.0,6,0.101,-7.265,1,0.294,102.806,3,https://api.spotify.com/v1/tracks/4cZrjpI6LsWvrxHoceUBc8,audio_features,spotify:track:4cZrjpI6LsWvrxHoceUBc8,0.467
1088,4d42DsNHiQipjONbwTYyEc,192,6143,0.000285,https://api.spotify.com/v1/audio-analysis/4d42DsNHiQipjONbwTYyEc,0.554,188640,0.889,4d42DsNHiQipjONbwTYyEc,0.911,6,0.0906,-6.635,0,0.0643,125.016,4,https://api.spotify.com/v1/tracks/4d42DsNHiQipjONbwTYyEc,audio_features,spotify:track:4d42DsNHiQipjONbwTYyEc,0.0605
1089,4dYoZfSK7BwVr6CCjPoVPE,2255,364497,0.315,https://api.spotify.com/v1/audio-analysis/4dYoZfSK7BwVr6CCjPoVPE,0.754,172450,0.776,4dYoZfSK7BwVr6CCjPoVPE,1.25e-05,1,0.107,-4.761,0,0.277,93.149,4,https://api.spotify.com/v1/tracks/4dYoZfSK7BwVr6CCjPoVPE,audio_features,spotify:track:4dYoZfSK7BwVr6CCjPoVPE,0.704
1090,4dtG1p71E6VPt9BmVYWcY5,543,17161,0.784,https://api.spotify.com/v1/audio-analysis/4dtG1p71E6VPt9BmVYWcY5,0.451,268243,0.41,4dtG1p71E6VPt9BmVYWcY5,8.57e-06,9,0.117,-10.64,0,0.147,179.43,3,https://api.spotify.com/v1/tracks/4dtG1p71E6VPt9BmVYWcY5,audio_features,spotify:track:4dtG1p71E6VPt9BmVYWcY5,0.218
1091,4dyrqiXUcK29hzrL2elqO3,1461,55017,0.123,https://api.spotify.com/v1/audio-analysis/4dyrqiXUcK29hzrL2elqO3,0.789,183067,0.727,4dyrqiXUcK29hzrL2elqO3,9.59e-06,1,0.222,-6.772,1,0.126,104.947,4,https://api.spotify.com/v1/tracks/4dyrqiXUcK29hzrL2elqO3,audio_features,spotify:track:4dyrqiXUcK29hzrL2elqO3,0.343
1092,4eAs7DQT5Flj3Dzt8dzDMC,417,22221,0.501,https://api.spotify.com/v1/audio-analysis/4eAs7DQT5Flj3Dzt8dzDMC,0.661,141087,0.35,4eAs7DQT5Flj3Dzt8dzDMC,0.858,2,0.0874,-19.932,1,0.0417,99.92,4,https://api.spotify.com/v1/tracks/4eAs7DQT5Flj3Dzt8dzDMC,audio_features,spotify:track:4eAs7DQT5Flj3Dzt8dzDMC,0.535
1093,4eHCXCytMT6tSOeo13bwwJ,142,7760,0.239,https://api.spotify.com/v1/audio-analysis/4eHCXCytMT6tSOeo13bwwJ,0.819,168924,0.684,4eHCXCytMT6tSOeo13bwwJ,0.0889,11,0.0846,-8.111,0,0.0799,139.967,4,https://api.spotify.com/v1/tracks/4eHCXCytMT6tSOeo13bwwJ,audio_features,spotify:track:4eHCXCytMT6tSOeo13bwwJ,0.805
1094,4ea9w8c4ROqiZpJVhfBA3m,2034,63890,0.188,https://api.spotify.com/v1/audio-analysis/4ea9w8c4ROqiZpJVhfBA3m,0.845,279907,0.631,4ea9w8c4ROqiZpJVhfBA3m,0.0,7,0.0806,-8.206,0,0.216,111.983,4,https://api.spotify.com/v1/tracks/4ea9w8c4ROqiZpJVhfBA3m,audio_features,spotify:track:4ea9w8c4ROqiZpJVhfBA3m,0.545
1095,4ejyZ4uJEXUURcgKp1kP8v,1502,447352,0.0938,https://api.spotify.com/v1/audio-analysis/4ejyZ4uJEXUURcgKp1kP8v,0.663,361947,0.567,4ejyZ4uJEXUURcgKp1kP8v,0.00978,5,0.124,-5.941,0,0.0309,108.959,4,https://api.spotify.com/v1/tracks/4ejyZ4uJEXUURcgKp1kP8v,audio_features,spotify:track:4ejyZ4uJEXUURcgKp1kP8v,0.139
1096,4fO0HqjTcWidMX1Im1six5,188,6097,0.606,https://api.spotify.com/v1/audio-analysis/4fO0HqjTcWidMX1Im1six5,0.799,303596,0.463,4fO0HqjTcWidMX1Im1six5,0.926,1,0.11,-17.334,1,0.0806,128.017,4,https://api.spotify.com/v1/tracks/4fO0HqjTcWidMX1Im1six5,audio_features,spotify:track:4fO0HqjTcWidMX1Im1six5,0.789
1097,4fW3EMRzAfj8aNMsF3zMwt,9022,836482,0.137,https://api.spotify.com/v1/audio-analysis/4fW3EMRzAfj8aNMsF3zMwt,0.793,215948,0.57,4fW3EMRzAfj8aNMsF3zMwt,0.0,1,0.101,-8.852,1,0.15,140.003,4,https://api.spotify.com/v1/tracks/4fW3EMRzAfj8aNMsF3zMwt,audio_features,spotify:track:4fW3EMRzAfj8aNMsF3zMwt,0.655
1098,4gc0hGrVOhDcQtbw3cjI98,793,57369,0.0363,https://api.spotify.com/v1/audio-analysis/4gc0hGrVOhDcQtbw3cjI98,0.759,184981,0.64,4gc0hGrVOhDcQtbw3cjI98,0.00171,8,0.343,-7.01,1,0.349,155.921,4,https://api.spotify.com/v1/tracks/4gc0hGrVOhDcQtbw3cjI98,audio_features,spotify:track:4gc0hGrVOhDcQtbw3cjI98,0.105
1099,4guHn2NQzdOLHy8ABHuVML,2221,323000,0.277,https://api.spotify.com/v1/audio-analysis/4guHn2NQzdOLHy8ABHuVML,0.803,175513,0.553,4guHn2NQzdOLHy8ABHuVML,4.24e-06,10,0.0987,-8.299,0,0.331,130.016,4,https://api.spotify.com/v1/tracks/4guHn2NQzdOLHy8ABHuVML,audio_features,spotify:track:4guHn2NQzdOLHy8ABHuVML,0.442
1100,4h5N4KyWZMtpeH9vhXSXjd,986,161368,0.337,https://api.spotify.com/v1/audio-analysis/4h5N4KyWZMtpeH9vhXSXjd,0.63,202193,0.446,4h5N4KyWZMtpeH9vhXSXjd,0.0,1,0.166,-8.9,1,0.0351,143.078,4,https://api.spotify.com/v1/tracks/4h5N4KyWZMtpeH9vhXSXjd,audio_features,spotify:track:4h5N4KyWZMtpeH9vhXSXjd,0.177
1101,4h8VwCb1MTGoLKueQ1WgbD,3310,93254,0.0038,https://api.spotify.com/v1/audio-analysis/4h8VwCb1MTGoLKueQ1WgbD,0.532,247427,0.783,4h8VwCb1MTGoLKueQ1WgbD,0.0012,2,0.161,-5.697,1,0.0523,124.08,4,https://api.spotify.com/v1/tracks/4h8VwCb1MTGoLKueQ1WgbD,audio_features,spotify:track:4h8VwCb1MTGoLKueQ1WgbD,0.643
1102,4iD5KYizD5e0KrCsk58P2r,15,294579,0.232,https://api.spotify.com/v1/audio-analysis/4iD5KYizD5e0KrCsk58P2r,0.819,182931,0.468,4iD5KYizD5e0KrCsk58P2r,0.108,1,0.0912,-10.926,1,0.288,104.867,4,https://api.spotify.com/v1/tracks/4iD5KYizD5e0KrCsk58P2r,audio_features,spotify:track:4iD5KYizD5e0KrCsk58P2r,0.237
1103,4iKWzru5GKgxVuGOxYKHRp,369,26735,0.0421,https://api.spotify.com/v1/audio-analysis/4iKWzru5GKgxVuGOxYKHRp,0.603,283787,0.583,4iKWzru5GKgxVuGOxYKHRp,0.0,10,0.11,-7.57,0,0.181,158.138,4,https://api.spotify.com/v1/tracks/4iKWzru5GKgxVuGOxYKHRp,audio_features,spotify:track:4iKWzru5GKgxVuGOxYKHRp,0.185
1104,4iNPp0BZ4lBu7bipdWLcWk,1622,49835,0.875,https://api.spotify.com/v1/audio-analysis/4iNPp0BZ4lBu7bipdWLcWk,0.63,223800,0.396,4iNPp0BZ4lBu7bipdWLcWk,0.0,10,0.1,-9.162,1,0.0334,142.046,4,https://api.spotify.com/v1/tracks/4iNPp0BZ4lBu7bipdWLcWk,audio_features,spotify:track:4iNPp0BZ4lBu7bipdWLcWk,0.246
1105,4iiWcajF1fEUpwcUewc464,927,36547,0.107,https://api.spotify.com/v1/audio-analysis/4iiWcajF1fEUpwcUewc464,0.81,315346,0.566,4iiWcajF1fEUpwcUewc464,0.0,5,0.122,-8.33,1,0.433,142.069,4,https://api.spotify.com/v1/tracks/4iiWcajF1fEUpwcUewc464,audio_features,spotify:track:4iiWcajF1fEUpwcUewc464,0.582
1106,4isHwaILFMfqqqopL4dje6,143,6396,0.0017,https://api.spotify.com/v1/audio-analysis/4isHwaILFMfqqqopL4dje6,0.726,211069,0.451,4isHwaILFMfqqqopL4dje6,0.819,11,0.117,-16.725,0,0.0481,119.998,4,https://api.spotify.com/v1/tracks/4isHwaILFMfqqqopL4dje6,audio_features,spotify:track:4isHwaILFMfqqqopL4dje6,0.962
1107,4isVKxoLiuaSROsXno2XWq,1239,43034,0.422,https://api.spotify.com/v1/audio-analysis/4isVKxoLiuaSROsXno2XWq,0.702,165002,0.604,4isVKxoLiuaSROsXno2XWq,1.5e-05,2,0.121,-7.28,0,0.122,96.035,4,https://api.spotify.com/v1/tracks/4isVKxoLiuaSROsXno2XWq,audio_features,spotify:track:4isVKxoLiuaSROsXno2XWq,0.383
1108,4j13mrwctaHuhWc6tMpH7a,270,14352,0.662,https://api.spotify.com/v1/audio-analysis/4j13mrwctaHuhWc6tMpH7a,0.815,165834,0.493,4j13mrwctaHuhWc6tMpH7a,0.0,2,0.11,-9.709,0,0.0937,142.112,4,https://api.spotify.com/v1/tracks/4j13mrwctaHuhWc6tMpH7a,audio_features,spotify:track:4j13mrwctaHuhWc6tMpH7a,0.544
1109,4jB8td98pbRVvTqtQ7I3MI,2075,156759,0.474,https://api.spotify.com/v1/audio-analysis/4jB8td98pbRVvTqtQ7I3MI,0.643,194067,0.643,4jB8td98pbRVvTqtQ7I3MI,0.0,6,0.102,-7.08,0,0.0905,149.956,4,https://api.spotify.com/v1/tracks/4jB8td98pbRVvTqtQ7I3MI,audio_features,spotify:track:4jB8td98pbRVvTqtQ7I3MI,0.81
1110,4jMPZl0GrSFgbogJ0C6sNG,166,6533,0.132,https://api.spotify.com/v1/audio-analysis/4jMPZl0GrSFgbogJ0C6sNG,0.78,178093,0.635,4jMPZl0GrSFgbogJ0C6sNG,0.0,1,0.1,-7.917,1,0.17,140.997,4,https://api.spotify.com/v1/tracks/4jMPZl0GrSFgbogJ0C6sNG,audio_features,spotify:track:4jMPZl0GrSFgbogJ0C6sNG,0.371
1111,4jXl6VtkFFKIt3ycUQc5LT,616,28788,0.896,https://api.spotify.com/v1/audio-analysis/4jXl6VtkFFKIt3ycUQc5LT,0.61,170360,0.0316,4jXl6VtkFFKIt3ycUQc5LT,0.00461,9,0.108,-15.186,1,0.0486,151.964,4,https://api.spotify.com/v1/tracks/4jXl6VtkFFKIt3ycUQc5LT,audio_features,spotify:track:4jXl6VtkFFKIt3ycUQc5LT,0.37
1112,4k3uABcX9iaGlt5pRJhumi,3188,116683,0.0692,https://api.spotify.com/v1/audio-analysis/4k3uABcX9iaGlt5pRJhumi,0.673,172916,0.58,4k3uABcX9iaGlt5pRJhumi,8.52e-05,0,0.186,-6.029,0,0.0416,95.989,4,https://api.spotify.com/v1/tracks/4k3uABcX9iaGlt5pRJhumi,audio_features,spotify:track:4k3uABcX9iaGlt5pRJhumi,0.257
1113,4kZa1KQIYhpOtnvcIg66UE,3283,391193,0.165,https://api.spotify.com/v1/audio-analysis/4kZa1KQIYhpOtnvcIg66UE,0.794,195250,0.746,4kZa1KQIYhpOtnvcIg66UE,0.0,8,0.126,-3.522,0,0.314,99.846,4,https://api.spotify.com/v1/tracks/4kZa1KQIYhpOtnvcIg66UE,audio_features,spotify:track:4kZa1KQIYhpOtnvcIg66UE,0.725
1114,4kfeRwpq5KUaqTkgi4TbDF,1862,157669,0.122,https://api.spotify.com/v1/audio-analysis/4kfeRwpq5KUaqTkgi4TbDF,0.691,205666,0.632,4kfeRwpq5KUaqTkgi4TbDF,0.0,1,0.0646,-7.598,1,0.0513,169.982,4,https://api.spotify.com/v1/tracks/4kfeRwpq5KUaqTkgi4TbDF,audio_features,spotify:track:4kfeRwpq5KUaqTkgi4TbDF,0.488
1115,4krm9ZgaWja1koCcMaGLAV,430,21294,0.0258,https://api.spotify.com/v1/audio-analysis/4krm9ZgaWja1koCcMaGLAV,0.671,195080,0.752,4krm9ZgaWja1koCcMaGLAV,0.0,6,0.112,-6.806,0,0.0304,124.998,4,https://api.spotify.com/v1/tracks/4krm9ZgaWja1koCcMaGLAV,audio_features,spotify:track:4krm9ZgaWja1koCcMaGLAV,0.717
1116,4ktwDUoKdVlk50lUlSIMEY,1459,42434,0.161,https://api.spotify.com/v1/audio-analysis/4ktwDUoKdVlk50lUlSIMEY,0.761,193253,0.715,4ktwDUoKdVlk50lUlSIMEY,0.000724,1,0.166,-6.689,1,0.299,174.042,4,https://api.spotify.com/v1/tracks/4ktwDUoKdVlk50lUlSIMEY,audio_features,spotify:track:4ktwDUoKdVlk50lUlSIMEY,0.655
