date,new.infections
2020-07-06T00:00:00Z,105
2020-07-07T00:00:00Z,107
2020-07-08T00:00:00Z,96
2020-07-09T00:00:00Z,97
2020-07-10T00:00:00Z,111
2020-07-11T00:00:00Z,70
2020-07-12T00:00:00Z,46
2020-07-13T00:00:00Z,120
2020-07-14T00:00:00Z,128
2020-07-15T00:00:00Z,120
2020-07-16T00:00:00Z,106
2020-07-17T00:00:00Z,115
2020-07-18T00:00:00Z,80
2020-07-19T00:00:00Z,41
2020-07-20T00:00:00Z,127
2020-07-21T00:00:00Z,138
2020-07-22T00:00:00Z,117
2020-07-23T00:00:00Z,143
2020-07-24T00:00:00Z,148
2020-07-25T00:00:00Z,95
2020-07-26T00:00:00Z,57
2020-07-27T00:00:00Z,193
2020-07-28T00:00:00Z,188
2020-07-29T00:00:00Z,220
2020-07-30T00:00:00Z,211
2020-07-31T00:00:00Z,163
2020-08-01T00:00:00Z,96
2020-08-02T00:00:00Z,80
2020-08-03T00:00:00Z,196
2020-08-04T00:00:00Z,181
2020-08-05T00:00:00Z,152
2020-08-06T00:00:00Z,156
2020-08-07T00:00:00Z,183
2020-08-08T00:00:00Z,130
2020-08-09T00:00:00Z,99
2020-08-10T00:00:00Z,281
2020-08-11T00:00:00Z,255
2020-08-12T00:00:00Z,247
2020-08-13T00:00:00Z,273
2020-08-14T00:00:00Z,234
2020-08-15T00:00:00Z,149
2020-08-16T00:00:00Z,141
2020-08-17T00:00:00Z,286
2020-08-18T00:00:00Z,296
2020-08-19T00:00:00Z,283
2020-08-20T00:00:00Z,350
2020-08-21T00:00:00Z,314
2020-08-22T00:00:00Z,192
2020-08-23T00:00:00Z,136
2020-08-24T00:00:00Z,306
2020-08-25T00:00:00Z,338
2020-08-26T00:00:00Z,361
2020-08-27T00:00:00Z,352
2020-08-28T00:00:00Z,374
2020-08-29T00:00:00Z,214
2020-08-30T00:00:00Z,144
2020-08-31T00:00:00Z,346
2020-09-01T00:00:00Z,364
2020-09-02T00:00:00Z,415
2020-09-03T00:00:00Z,436
2020-09-04T00:00:00Z,424
2020-09-05T00:00:00Z,293
2020-09-06T00:00:00Z,170
2020-09-07T00:00:00Z,466
2020-09-08T00:00:00Z,387
2020-09-09T00:00:00Z,460
2020-09-10T00:00:00Z,506
